date,annee,zone,nom_jour_ferie
2023-07-14,2023,Saint-Barthélémy,14 juillet
2023-08-15,2023,Saint-Barthélémy,Assomption
2023-10-09,2023,Saint-Barthélémy,Abolition de l'esclavage
2023-11-01,2023,Saint-Barthélémy,Toussaint
2023-11-11,2023,Saint-Barthélémy,11 novembre
2023-12-25,2023,Saint-Barthélémy,Jour de Noël
2024-01-01,2024,Saint-Barthélémy,1er janvier
2024-04-01,2024,Saint-Barthélémy,Lundi de Pâques
2024-05-01,2024,Saint-Barthélémy,1er mai
2024-05-08,2024,Saint-Barthélémy,8 mai
2024-05-09,2024,Saint-Barthélémy,Ascension
2024-05-20,2024,Saint-Barthélémy,Lundi de Pentecôte
2024-07-14,2024,Saint-Barthélémy,14 juillet
2024-08-15,2024,Saint-Barthélémy,Assomption
2024-10-09,2024,Saint-Barthélémy,Abolition de l'esclavage
2024-11-01,2024,Saint-Barthélémy,Toussaint
2024-11-11,2024,Saint-Barthélémy,11 novembre
2024-12-25,2024,Saint-Barthélémy,Jour de Noël
2025-01-01,2025,Saint-Barthélémy,1er janvier
2025-04-21,2025,Saint-Barthélémy,Lundi de Pâques
2025-05-01,2025,Saint-Barthélémy,1er mai
2025-05-08,2025,Saint-Barthélémy,8 mai
2025-05-29,2025,Saint-Barthélémy,Ascension
2025-06-09,2025,Saint-Barthélémy,Lundi de Pentecôte
2025-07-14,2025,Saint-Barthélémy,14 juillet
2025-08-15,2025,Saint-Barthélémy,Assomption
2025-10-09,2025,Saint-Barthélémy,Abolition de l'esclavage
2025-11-01,2025,Saint-Barthélémy,Toussaint
2025-11-11,2025,Saint-Barthélémy,11 novembre
2025-12-25,2025,Saint-Barthélémy,Jour de Noël
2026-01-01,2026,Saint-Barthélémy,1er janvier
2026-04-06,2026,Saint-Barthélémy,Lundi de Pâques
2026-05-01,2026,Saint-Barthélémy,1er mai
2026-05-08,2026,Saint-Barthélémy,8 mai
2026-05-14,2026,Saint-Barthélémy,Ascension
2026-05-25,2026,Saint-Barthélémy,Lundi de Pentecôte
2026-07-14,2026,Saint-Barthélémy,14 juillet
2026-08-15,2026,Saint-Barthélémy,Assomption
2026-10-09,2026,Saint-Barthélémy,Abolition de l'esclavage
2026-11-01,2026,Saint-Barthélémy,Toussaint
2026-11-11,2026,Saint-Barthélémy,11 novembre
2026-12-25,2026,Saint-Barthélémy,Jour de Noël
2027-01-01,2027,Saint-Barthélémy,1er janvier
2027-03-29,2027,Saint-Barthélémy,Lundi de Pâques
2027-05-01,2027,Saint-Barthélémy,1er mai
2027-05-06,2027,Saint-Barthélémy,Ascension
2027-05-08,2027,Saint-Barthélémy,8 mai
2027-05-17,2027,Saint-Barthélémy,Lundi de Pentecôte
2027-07-14,2027,Saint-Barthélémy,14 juillet
2027-08-15,2027,Saint-Barthélémy,Assomption
2027-10-09,2027,Saint-Barthélémy,Abolition de l'esclavage
2027-11-01,2027,Saint-Barthélémy,Toussaint
2027-11-11,2027,Saint-Barthélémy,11 novembre
2027-12-25,2027,Saint-Barthélémy,Jour de Noël
2028-01-01,2028,Saint-Barthélémy,1er janvier
2028-04-17,2028,Saint-Barthélémy,Lundi de Pâques
2028-05-01,2028,Saint-Barthélémy,1er mai
2028-05-08,2028,Saint-Barthélémy,8 mai
2028-05-25,2028,Saint-Barthélémy,Ascension
2028-06-05,2028,Saint-Barthélémy,Lundi de Pentecôte
2028-07-14,2028,Saint-Barthélémy,14 juillet
2028-08-15,2028,Saint-Barthélémy,Assomption
2028-10-09,2028,Saint-Barthélémy,Abolition de l'esclavage
2028-11-01,2028,Saint-Barthélémy,Toussaint
2028-11-11,2028,Saint-Barthélémy,11 novembre
2028-12-25,2028,Saint-Barthélémy,Jour de Noël
2029-01-01,2029,Saint-Barthélémy,1er janvier
2029-04-02,2029,Saint-Barthélémy,Lundi de Pâques
2029-05-01,2029,Saint-Barthélémy,1er mai
2029-05-08,2029,Saint-Barthélémy,8 mai
2029-05-10,2029,Saint-Barthélémy,Ascension
2029-05-21,2029,Saint-Barthélémy,Lundi de Pentecôte
2029-07-14,2029,Saint-Barthélémy,14 juillet
2029-08-15,2029,Saint-Barthélémy,Assomption
2029-10-09,2029,Saint-Barthélémy,Abolition de l'esclavage
2029-11-01,2029,Saint-Barthélémy,Toussaint
2029-11-11,2029,Saint-Barthélémy,11 novembre
2029-12-25,2029,Saint-Barthélémy,Jour de Noël
2030-01-01,2030,Saint-Barthélémy,1er janvier
2030-04-22,2030,Saint-Barthélémy,Lundi de Pâques
2030-05-01,2030,Saint-Barthélémy,1er mai
2030-05-08,2030,Saint-Barthélémy,8 mai
2030-05-30,2030,Saint-Barthélémy,Ascension
2030-06-10,2030,Saint-Barthélémy,Lundi de Pentecôte
2030-07-14,2030,Saint-Barthélémy,14 juillet
2030-08-15,2030,Saint-Barthélémy,Assomption
2030-10-09,2030,Saint-Barthélémy,Abolition de l'esclavage
2030-11-01,2030,Saint-Barthélémy,Toussaint
2030-11-11,2030,Saint-Barthélémy,11 novembre
2030-12-25,2030,Saint-Barthélémy,Jour de Noël
